<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20151029,000000,1172.2,1183.1,1152.1,1159.4,179964
20151030,000000,1159.4,1161.8,1144.2,1148.4,134654
20151031,000000,1148.5,1149.1,1138.4,1141.7,79078
20151102,000000,1141.3,1142.7,1133.8,1137.5,32489
20151103,000000,1137.6,1138.7,1130.2,1131.3,86649
20151104,000000,1131.2,1132.3,1113.6,1117.6,144123
20151105,000000,1117.7,1120.8,1105.6,1106.9,139026
20151106,000000,1107,1110.4,1102.2,1107,97179
20151107,000000,1107,1108.6,1084.5,1088.9,134061
20151109,000000,1089.1,1094,1088.3,1093.1,40217
20151110,000000,1093,1094.9,1087.4,1092.3,103781
20151111,000000,1092.3,1093.8,1084,1088.7,113011
20151112,000000,1088.6,1089.4,1083.2,1086.9,87804
20151113,000000,1086.9,1089,1073,1083.4,157520
20151114,000000,1083.3,1088,1078.9,1083.4,82903
20151116,000000,1087.9,1097.4,1085.2,1092.1,56382
20151117,000000,1092.1,1092.7,1075.6,1079.4,112064
20151118,000000,1079.5,1083.1,1062,1069.2,156078
20151119,000000,1069.2,1078.7,1064.8,1073.1,123345
20151120,000000,1073,1087.2,1068.3,1085.1,143256
20151121,000000,1085.1,1086,1074.9,1076.7,68005
20151123,000000,1076.4,1076.5,1066.5,1068,40247
20151124,000000,1068,1074.5,1065,1073.8,97780
20151125,000000,1073.8,1080.7,1071.7,1072.4,107002
20151126,000000,1072.5,1074.3,1067.1,1071.2,64083
20151127,000000,1071.3,1072.6,1062.8,1064.2,8089
20151128,000000,1064.2,1065.3,1051.1,1055.9,9271
20151130,000000,1056.5,1057.8,1052.1,1055.1,963
20151201,000000,1055.7,1074,1055.2,1068.5,48384
20151202,000000,1068.7,1071.9,1063,1066.3,76939
20151203,000000,1066.3,1066.9,1045.4,1049.9,135699
20151204,000000,1049.9,1064.5,1048.8,1061.1,147528
20151205,000000,1061.1,1088.3,1059.2,1085.8,163170
20151207,000000,1082.3,1086.1,1081.6,1082.8,30973
20151208,000000,1082.7,1082.9,1065,1071.2,105687
20151209,000000,1071.2,1080.8,1066.8,1077.8,113624
20151210,000000,1077.8,1085,1068.7,1071.9,130682
20151211,000000,1071.9,1074.9,1061.7,1063.8,100843
20151212,000000,1063.9,1079.1,1061.8,1073.7,99773
20151214,000000,1073,1077.3,1065,1065.8,38250
20151215,000000,1065.7,1074.6,1057.4,1065,116452
20151216,000000,1065,1067,1059,1063.6,84851
20151217,000000,1063.7,1077.9,1061,1065,140060
20151218,000000,1065,1067.6,1046.8,1055.5,140160
20151219,000000,1055.5,1071,1054.9,1065.6,74570
20151221,000000,1065.2,1073.3,1063.1,1071.8,26994
